tonie_id,title,figure,description,runtime,age_recommendation,image
76,Weihnachtslieder 2 (Neuauflage 2022),Lieblings-Kinderlieder,Frisch und modern interpretiert von den MinimusikernDas kleine Reh bringt eine zweite Kollektion der schönsten Weihnachtslieder auf die Toniebox. Eine stimmungsvolle Auswahl an neu aufgelegten Klassikern und ganz neuen Liedern bringt ein bisschen Abwechslung in die Vorweihnachtszeit.,ca. 55 Minuten,Ab 3 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/10001334-50004100-b--CuPtjnzs.png"
77,Majas Geburt,Die Biene Maja,"Sie ist neugierig, mutig und eifrig: Biene Maja hat schon vor langer Zeit die Klatschmohnwiese und damit auch unsere Herzen erobert. Nun steht das nächste Abenteuer an - denn die kleine Honigbiene wagt den Schritt ins Tonieversum! Auf diesem Tonie erwarten euch verschiedene Geschichten rund um Biene Maja und ihre Freunde, mit den Originalstimmen und der Musik aus der TV-Serie. ",ca. 79 Minuten,Ab 3 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/01-0197-98-0623-b-Ing9Jy8M.png"
78,Alles Schule!,Der kleine Rabe Socke,"Der kleine Rabe Socke hat nicht nur eine super Schultüte bekommen und einen tollen Einschulungstag erlebt - er hat einfach unheimlich viel gelernt, für sich und über sich, und ist doch genauso geblieben, wie alle ihn lieben: frech, neugierig und immer für eine Überraschung gut. In ""Alles ist Schule!"" wird der kleine Rabe bei seinen ersten Tagen und Wochen in der Schule begleitet. ",ca. 40 Minuten,Ab 3 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/01-0110-98-0334-b-XhHKt0b6.png"
79,Weihnachtslieder,Lieblings-Kinderlieder,"Alte Weihnachtslieder, neu interpretiertUnsere beliebten Weihnachtslieder als Neuauflage mit Liedern, die euch das Warten auf’s Fest versüßen. Ob “Fröhliche Weihnacht überall” oder “Alle Jahre wieder” – mit diesen von den Minimusikern neu interpretierten Versionen wird die Adventszeit musikalisch gleich doppelt so schön.",ca. 54 Minuten,Ab 3 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/10000832-50002702-b--53LpBw4c.png"
80,Schlaf gut! Die kleine Raupe Nimmersatt und weitere Geschichten,Die kleine Raupe Nimmersatt,"Die kleine Raupe Nimmersatt und ihre Freunde begleiten die Allerkleinsten auf eine Reise ins Land der Träume. Sie mampfen sich durch Gemüse und andere Köstlichkeiten, lernen zu singen, finden neue Freunde und erleben wahrhaft abenteuerliche Reisen. Als es Abend wird, wünschen alle Tiere in einer ruhigen Abschlussgeschichte eine gute Nacht. Begleitet von sanften Klängen schlummert die kleine Raupe Nimmersatt gemeinsam mit den Allerkleinsten glücklich ein.",ca. 44 Minuten,Ab 3 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/10000908-50002975-b-zPLNtEEh.png"
81,Schlaflieder 2,Lieblings-Kinderlieder,Die schönsten Schlaflieder neu interpretiert von den Minimusikern!Für schöne Träume von der Wiege bis zur Schultüte! Nach dem erfolgreichen Vorgänger gibt es jetzt eine neue abwechslungsreiche Sammlung der bekanntesten und wichtigsten Lieder zum Einschlafen.,ca. 60 Minuten,Ab 3 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/10001259-50003837-b--Hepch5uS.png"
82,Abends im Walde,Unser Sandmännchen,"Dieser Tonie entführt die kleinen Hörer in den abendlichen Wald, mit je 5 ruhigen Geschichten und Liedern, die zum Träumen einladen. Sie erzählen von Bären, die nicht schlafen können oder einem Feinschmecker-Wildschwein, das am liebsten nur Eicheln essen möchte. Das Sandmännchen ist die perfekte Vorbereitung für eine ruhige Nacht und schöne Träume.",ca. 53 Minuten,Ab 3 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/10000149-50000859-b-k0ewEmNh.png"
83,Bobo feiert Kindergeburtstag,Bobo Siebenschläfer,"Bobo feiert Kindergeburtstag und weitere FolgenDer kleine Siebenschläfer hat eine Menge zu tun: Er geht mit Mama einkaufen, unternimmt mit Opa einen Ausflug, baut eine Höhle, feiert seinen Kindergeburtstag und besucht mit Mama und Papa das Freibad. Dabei nimmt Bobo euch mit auf Entdeckungstour.",ca. 39 Minuten,Ab 3 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/01-0024-b-LXTpMq6U.png"
84,Vaiana,Disney,"Eine Heldin aus der SüdseeDas Leben auf einer Südseeinsel ist traumhaft, doch Vaiana zieht es raus aufs Wasser. Um ihr Volk zu retten und ihrer Bestimmung zu folgen, zieht sie los um ein Jahrtausend alte Geschichte zu Ende zu bringen.Das Hörspiel begeistert nicht nur mit Spannung und Spaß für die ganze Familie, sondern auch mit den beliebten Songs und Stimmen aus dem Kinofilm.",ca. 76 Minuten,Ab 4 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/10000526-50001663-b-0naxLFhi.png"
85,Ben Teddybär Hörspiel,tonies und Steiff,"Zum 120. Jubiläum des ersten Steiff Teddybären für kleine und große Teddybär-FansEntdecke die spannende Geschichte aus dem Hörspiel “Der verschwundene Teddybär”!Am Tag des 120. Teddybärenjubiläums passiert es: Kurz vor dem Fest ist das Bärle, der wichtigste Teddybär des Tages, verschwunden. Ob Rico der Firmenkater dahintersteckt? Der abenteuerlustige Teddybär Ben und seine noch mutigere kleine Schwester Mila machen sich sofort auf die Bärle-Suche. Und geraten tatsächlich in die Fänge von Rico und seiner Bande. Aber Ben und Mila haben Walkie-Talkie-Knöpfe im Ohr und magische Ohrfahnen. Ein großer Vorteil … Ob sie es rechtzeitig schaffen das Bärle zu finden?Begleite Ben und Mila auf ihrer Suche nach dem verschwundenen Teddybär!",ca. 60 Minuten,"Gabriele Blum, Max Hegewald, Luisa Wietzorek, Simone Kabst, Vlad Chiriac, Rafael Gareisen u.v.m","https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/Produktbild_Ben-Stei-ir5uXDO_.png"
86,Beste Freunde,Bakabu,"In Bakabus Liedern steckt ein Geheimnis. Hinter den groovigen Rhythmen steht eine neue Methode der sprachlichen Frühförderung – entwickelt mit Expert*innen aus Linguistik und Pädagogik. Die Kinder eignen sich mit den Songs spielerisch wichtige Strukturen der deutschen Sprache an.Doch damit nicht genug:Im Singeland erlebt Bakabu aufregende Abenteuer. Gemeinsam mit seinen Freunden Charlie Gru, Ukuleila, Jack Embalo und Onkel Kornett muss er sich diesmal um seine kranke Glockenblume kümmern.Illustrationen: Cecile M. Lederer",ca. 37 Minuten,Ab 3 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/10000275-50001839-b-fccLgkxG.png"
87,Die Ritterburg und 7 weitere Geschichten,Peppa Pig,"Kurze Geschichten für große Schweinchen-Fans – Peppa und ihre Freunde kommen auf die Toniebox!Sie ist klein, pink und liebt Matschepfützen über alles: Peppa Wutz begeistert mit ihren kurzen Geschichten schon die kleinsten Hörspielfans. Eine wilde Taxifahrt mit Frau Mümmel, eine lustige Musikstunde bei Madame Gazelle oder ein Ausflug zur Ritterburg mit Schorsch, Mama Wutz und Papa Wutz – stelle Peppa einfach auf deine Toniebox und begleite sie und ihre Freunde auf 8 lustigen Abenteuern.",ca. 44 Minuten,Ab 3 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/10000303-50001268-b-MMwcmSQ5.png"
88,"Der kleine König sagt ""Gute Nacht""",Der kleine König,"Der kleine König sagt „Gute Nacht“: Manchmal nehmen die abendlichen Vorbereitungen kein Ende. Zuerst muss „nur noch das eine“, dann aber doch „noch das andere“ erledigt werden.Gute Nacht: Die Zeremonie vor dem Zubettgehen dauert heute besonders lange, denn der kleine König schlüpft in verschiedene Rollen. Aber irgendwann hat er genug geflattert, gesummt und gebrüllt – und endlich kann geschnarcht werden.Im Bad: Der kleine König stinkt und muss in die Wanne. Das wird so lange wie möglich hinausgezögert, denn er möchte viel lieber spielen gehen. Am Ende muss er ins Wasser, hat aber doch noch Grund zum Lachen.",ca. 40 Minuten,Ab 3 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/10000362-50001149-b-qEV5i4x7.png"
89,Hexen gibt es doch,Bibi Blocksberg,"Erst seit kurzer Zeit wohnen die Blocksbergs in Neustadt. Doch schon bald merken die Nachbarn: Das ist keine normale Familie. Herr Müller behauptet sogar, die kleine Bibi fliege manchmal auf einem Besen durch die Luft. Bald munkeln alle Leute in der Stadt: Mutter und Tochter Blocksberg sind Hexen.",ca. 33 Minuten,Ab 4 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/01-0012-98-0064-b-LyJLOsk6.png"
90,Der Zoo-Kindergarten,Benjamin Blümchen,"Weil die Neustädter Kindergärten in den Sommerferien alle schließen, haben viele Kinder ein Problem: Wo sollen sie hingehen, wenn ihre Eltern arbeiten müssen? Ganz einfach, denkt sich Benjamin, in den Zoo natürlich! Er will einen Ferien-Kindergarten aufmachen. Aber dafür muss er eine Prüfung bestehen. Und die ist nicht so einfach!",ca. 43 Minuten,Ab 3 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/01-0013-98-0065-b-16Kl6TCe.png"
91,Benjamin als Baggerfahrer,Benjamin Blümchen,"Da staunen Benjamin, Otto und Stella: Ein Transporter bringt neue Tiere für den Zoo. Aber viel zu früh – die Gehege sind noch nicht fertig! Und Karl ist im Urlaub. Was nun? Ganz einfach: Die drei Freunde bauen selbst drauflos. Leider hat der Bürgermeister etwas dagegen. Aber Benjamin lässt sich nicht das Baggern verbieten!",ca. 41 Minuten,Ab 3 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/01-0014-b-bNX6ajHQ.png"
92,Dinosaurier / Ausgestorbene Tiere,WAS IST WAS,"DinosaurierEs gab harmlose Pflanzenfresser wie die gewaltigen Sauropoden, aber auch gefährliche Raubtiere wie den Tyrannosaurus Rex. Doch eine gewaltige Katastrophe hat die Dinos für immer ausgelöscht.Ausgestorbene TiereSeit es Leben auf der Erde gibt, starben Arten aus, und neue entwickelten sich. Doch wo gab es erstes Leben? Was ist Evolution, und wie beeinflusst sie die Entwicklung der Arten? Und warum sind auch heute so viele Tierarten vom Aussterben bedroht?",ca. 70 Minuten,Ab 6 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/01-0038-98-0114-b-crV8N6cL.png"
93,Mein Geschichtenkissen,Kikaninchen,"„Erzähl mir eine Geschichte!“, wünscht sich Kikaninchen immer wieder - und Anni und Christian fällt stets etwas Schönes ein.10 fantasievolle, spannende und lustige kleine Abenteuer gibt es nun auf diesem Album zu erleben.",ca. 65 Minuten,Ab 4 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/01-0051-b-JkqDkha0.png"
94,Die Eule mit der Beule,Die Eule mit der Beule,"Sophie ist krank und muss das Bett hüten, aber leider liegen die Kuscheltiere im Weg - also erzählt Mama ihr zu jedem Tier eine Geschichte.",ca. 34 Minuten,Ab 3 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/01-0098-b-vLgwS2fW.png"
95,Schlaf schön!,Maus,"Gute Nachtgeschichten und Lieder mit der Maus. Sie ist orange, zeitlos und wenn sie die Welt erklärt, zieht sie alle Kinder in ihren Bann. Die Maus - unverwechselbar, neugierig und ganz schön clever! ",ca. 38 Minuten,Ab 3 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/01-0130-98-0376-b-PumoLIWK.png"
96,Schlaf schön!,Die Sendung mit dem Elefanten,Auf diesem Tonie präsentieren Elefant und Hase stimmungsvolle Gute-Nacht-Geschichten und –Lieder für gute Unterhaltung und angenehme Träume ...,ca. 51 Minuten,Ab 3 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/01-0097-b-dug9HEPg.png"
97,"12 Lieder zum Singen, Spielen und Tanzen",Anne Kaffeekanne,"Auf diesem Tonie sind Lieder versammelt, die ihr auch selber singen und tanzen könnt. Manche von euch werden zum Beispiel den Katzentatzentanz schon kennen. Wir haben das Lied verändert, damit möglichst viele Kinder mitsingen können. Jetzt sind ein Dackel, eine Wildsau und ein Gespenst dazugekommen. Hoffentlich machen euch aber auch alle die anderen Lieder so viel Spaß wie uns, als wir sie gesungen haben.",ca. 40 Minuten,Ab 4 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/01-0112-b-tDoZCy1f.png"
98,Das Original-Hörspiel zu den Büchern 1,Leo Lausemaus,"Die kleine Maus mit großem HerzErlebe mit Leo Lausemaus vier süße Abenteuer. Du erfährst, warum Leo eines Tages nichts essen will und was passiert, als er einmal nicht die Wahrheit sagt. Außerdem hörst du, wie es ist, wenn Leo schlechte Laune hat, und warum er manchmal einfach nicht schlafen will. Lausemausigen Spaß dabei!",ca. 46 Minuten,Ab 3 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/01-0083-b-gcqfnmAb.png"
99,"Nachts, wenn alles schläft",Unser Sandmännchen,"Liebe Kinder, gebt fein acht: Fünf traumhafte Einschlafgeschichten und Lieder für eine gute Nacht!Wenn es Zeit wird, ins Bett zu gehen, freuen sich die Kinder auf etwas Traumsand vom Sandmännchen – und auf seine Geschichten, die es jeden Abend mitbringt. In diesen liebevoll interpretierten Erzählungen und Liedern erfahren die Kinder vorm Einschlafen, was eigentlich passiert, wenn Tiere, Menschen und Spielsachen am Abend zur Ruhe kommen. Und ob nachts tatsächlich alle schlafen. Aber was passiert, wenn man mal nicht einschlafen kann? Wichtige Fragen für die Kleinen werden hier einfühlsam geklärt. Danach können alle beruhigt einschlafen.",ca. 57 Minuten,Ab 3 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/01-0062-b-zI_reOjP.png"
100,Bobo beim Kinderarzt und weitere Folgen,Bobo Siebenschläfer,"Bobo hat nie Langeweile. Er badet mit Papa, baut am Bach ein Bötchen und tobt mit dem Hund der Nachbarin durch den Garten. Jeder Tag hält für Bobo neue Abenteuer bereit, die mal lustig, mal aufregend und manchmal auch anstrengend sind, aber immer Spaß machen. Und wenn Bobo danach einschläft, träumt er sicher schon von seinem nächsten Abenteuer.",ca. 46 Minuten,Ab 3 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/01-0167-98-0511-b-b6ai22RY.png"
101,Die kleine Eule feiert Weihnachten,Die Eule mit der Beule,"Sophie kann es gar nicht abwarten, bis endlich Weihnachten ist. Da werden Plätzchen gebacken, der Baum wird aufgestellt und zwischendrin werden Geschichten vom Hummer, dem Biber, der Maus und der Eule erzählt und es wird gesungen. Doch dann ist endlich Bescherung und zu Sophies Stoffkameraden gesellt sich ein neues Tier hinzu. Aber das beste Geschenk von allen? Na klar, das sind Küsschen für alle! Schöner kann Weihnachten wirklich nicht sein! Bitte beachte unbedingt unseren Tonies-Tipp: In dieser Geschichte werden die Geschenke von Mama und Papa verpackt und verschenkt. Kleine Tonie-Fans kann das irritieren, wenn sie das Christkind, den Nikolaus oder den Weihnachtsmann erwarten.",ca. 39 Minuten,Ab 3 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/01-0095-98-0586-b-eGPAP8Ml.png"
102,In Pontypandy ist was los,Feuerwehrmann Sam,"Es geht rund in Pontypandy und Sam eilt stets zur Rettung!Der Spaßtag mit den Zwillingen Sarah und James entpuppt sich als gefährlicher Wettstreit zwischen Hauptfeuerwehrmann Steele und Gareth, ihrem Großvater. Die beiden wetteifern darum, wer den Zwillingen das bessere Freizeitprogramm bescheren kann. Eine kurze Unaufmerksamkeit genügt und ihr Boot schwimmt schnurstracks auf einen Wasserfall zu. Es wird auch ein heißer Tag für Hannah und Joe, die bei einem aus dem Ruder geratenen Grillfest oben auf der Klippe festsitzen und Mandy beschließt, ihrem Garten ein neues Gesicht zu geben. Außerdem wird in Pontypandy eine Haustierschau veranstaltet, in der die Tiere ihr bestes Benehmen zeigen und Norman packt seine altenTricks aus, denn er möchte unbedingt das diesjährige Käsewettrollen gewinnen.",ca. 60 Minuten,Ab 3 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/01-0200-98-0627-b-nL2ncLa4.png"
103,Findus und der Hahn im Korb,Pettersson und Findus,"Seit Caruso auf dem Hühnerhof Einzug gehalten hat, ist bei Pettersson und Findus nichts mehr so wie früher. Prillan, Mathilda, Fia und wie die Hühnerdamen alle heißen, haben nämlich nur noch Augen für den Hahn. Genauso einer hat ihnen noch gefehlt. Findus versteht die Welt nicht mehr. Hat er ihnen nicht immer so schön die Zeit vertrieben? Wozu brauchen die dummen Hühner auf einmal einen Hahn? Und dann erst die Kräherei! Das fängt ja schon an, wenn Findus noch nicht mal aufgewacht ist. Und dann geht das den ganzen Tag so. Gibt es wirklich nichts, womit man dem Hahn das Krähen abgewöhnen kann?",ca. 34 Minuten,Ab 4 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/01-0150-98-0460-b-tZn8Q43N.png"
104,Mit der Maus die Welt entdecken,Maus,"Kleine und große MausabenteuerSie ist orange, zeitlos, und wenn sie die Welt erklärt, zieht sie alle Kinder in ihren Bann. Die Maus – unverwechselbar, neugierig und ganz schön clever!Zusammen mit dem Elefanten präsentiert die Maus auf diesem Tonie die schönsten und spannendsten Abenteuer-Geschichten und -Lieder von sich und ihren Freunden.",ca. 33 Minuten,Ab 3 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/01-0161-98-0505-b-mk5yd9x2.png"
105,Benjamin Blümchen als Ritter,Benjamin Blümchen,"Gibt es noch etwas Tolleres als einen sprechenden und angezogenen Elefanten? Ja! Einen sprechenden Elefanten in einer Ritterrüstung! Sieht Benjamin nicht toll aus? Ihr könnt euch sicher vorstellen, dass eine Ritterrüstung in Benjamins Größe gar nicht so einfach aufzutreiben ist! Wie er das trotzdem geschafft hat, das erfahrt ihr in dieser Geschichte.",ca. 42 Minuten,Ab 3 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/01-0173-98-0518-b-3R-AKrw8.png"
106,Die Prinzessinnen von Thunderstorm,Bibi Blocksberg,"Bibi besucht ihre Cousine Margie in Irland auf Schloss Thunderstorm. Dort erfährt sie von einem rauschenden Fest, das dort früher immer stattgefunden hat. Als die beiden kleinen Hexen dann eine Truhe mit wunderschönen Prinzessinnen-Kleidern finden, können sie nicht widerstehen: sie hexen sich in die Vergangenheit, um als Prinzessinnen den großen alljährlichen Ball von Schloss Thunderstorm zu besuchen. Und wir finden, Bibi macht sich ganz gut als kleine Prinzessin!",ca. 42 Minuten,Ab 4 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/01-0174-98-0519-b-KM4m_yll.png"
107,Das Dschungelbuch,Disney,"Das kleine Menschenkind Mogli wird von Wölfen großgezogen. Doch eines Tages kehrt der böse Tiger Shir Khan in den Dschungel zurück und Mogli macht sich mit Hilfe des klugen Panthers Baghira auf, um Schutz in der Menschensiedlung zu suchen. Als die beiden auf ihrem Weg dorthin den stets gut gelaunten Bären Balu treffen, geht der Trubel erst richtig los. Ob swingender Affentanz mit dem verrückten Orang-Utan King Louie, die unvergessliche Elefantenparade oder eine hypnotische Begegnung mit der Schlange Kaa – im Disney-Dschungel ist einfach der Bär los!",ca. 59 Minuten,Ab 4 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/01-0179-98-0552-b-EUbtzkIN.png"
108,Bambi,Disney,"Mitten in einem Wald wird ein junger Hirsch namens Bambi geboren. Noch klein und tapsig, macht er seine ersten vorsichtigen Schritte auf einer Blumenwiese und lernt dabei das pfiffige Kaninchen Klopfer und das schüchterne Stinktier Blume kennen. Gemeinsam entdecken die jungen Waldbewohner die geheimnisvollen Wunder der Natur und werden so zu unzertrennlichen Freunden. Und selbst als die Herausforderungen des Lebens nahen, halten die ungleichen Freunde fest zusammen... ",ca. 50 Minuten,Ab 4 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/01-0189-98-0581-b-tn5ktQcz.png"
109,Der König der Löwen,Disney,"Als unbekümmerter Löwenjunge kann es Simba kaum erwarten, endlich König vom geweihten Land zu werden. Sein Vater Mufasa bereitet ihn sorgfältig auf diese Rolle vor und klärt ihn über den ewigen Kreis des Lebens auf. Doch Mufasas hinterlistiger Bruder Scar hat mit den Hyänen einen teuflischen Komplott ausgeheckt, um Simba den Thron streitig zu machen. Er lockt Mufasa in eine tödliche Falle und Simba muss fliehen. Auf der Flucht trifft er neue Freunde - Timon und Pumbaa, die sein Leben wieder lebenswert und frei von Sorgen machen. Mit ihnen lebt Simba unbeschwert in den Tag hinein, bis er seiner Freundin Nala begegnet, die ihm von Scars Schreckensherrschaft berichtet. Simba muss sich zwischen Spaß und Pflicht entscheiden...",ca. 48 Minuten,Ab 4 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/01-0190-98-0582-b-a0Vs2yGR.png"
110,Lieder für dich,Minimusiker,"Dieser Tonie macht vor allem eins: richtig Lust auf Musik! Schon beim ersten Lied können wir nicht anders, als lauthals mitzusingen und zu tanzen. Es geht um Freundschaften, Fantasiereisen, Modegeschmack und vieles mehr. Und damit setzen die Minimusiker genau die Gefühle und Momente in den Fokus ihrer Musik, mit denen Kinder sich so oft identifizieren können. Ganz tolle, zeitgemäße Musik für Kinder – und Erwachsene!",ca. 50 Minuten,Ab 3 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/10000146-50000595-b-G5ozmjj8.png"
111,Wale & Delfine / Geheimnis Tiefsee,WAS IST WAS,"Dieser imposante Tonie ist einfach gigantisch! Und er bringt dazu noch eine volle Ladung Wissen mit. Mit Tess und Theo taucht ihr ein in die Welt der großen Meeressäugetiere und erfahrt alles, was ihr über Wale und Delfine wissen müsst. Und das zweite Thema ist diesmal besonders spannend: Entdeckt die außergewöhnliche Welt der Tiefsee mit ihren faszinierenden und bizarren Bewohnern.",ca. 79 Minuten,Ab 6 Jahre,"https://res.cloudinary.com/tonies/image/fetch/f_auto,q_auto,c_fill,b_rgb:ffffff,w_900,h_800/https://278163f382d2bab4b036-4f5ec62496a160f3570d3b6e48fc4516.ssl.cf3.rackcdn.com/01-0160-98-0504-b-pCdAiFd4.png"
